birim,isim,dovizAdi,dovizAlis,dovizSatis,efektifAlis,efektifSatis,dolarKuru,digerKur,kod,dovizKodu
1,ABD DOLARI,US DOLLAR,32.5011,32.5597,32.4784,32.6085,,,USD,USD
1,AVUSTRALYA DOLARI,AUSTRALIAN DOLLAR,21.8002,21.9423,21.6999,22.074,1.4874,,AUD,AUD
1,DANİMARKA KRONU,DANISH KRONE,4.6977,4.7207,4.6944,4.7316,6.9078,,DKK,DKK
1,EURO,EURO,35.0933,35.1566,35.0688,35.2093,,1.0798,EUR,EUR
1,İNGİLİZ STERLİNİ,POUND STERLING,41.379,41.5947,41.35,41.6571,,1.2753,GBP,GBP
1,İSVİÇRE FRANGI,SWISS FRANK,35.9852,36.2163,35.9313,36.2706,0.9011,,CHF,CHF
1,İSVEÇ KRONU,SWEDISH KRONA,3.0829,3.1149,3.0808,3.122,10.50,,SEK,SEK
1,KANADA DOLARI,CANADIAN DOLLAR,23.8231,23.9306,23.735,24.0215,1.3624,,CAD,CAD
1,KUVEYT DİNARI,KUWAITI DINAR,105.5364,106.9174,103.9534,108.5211,,3.2655,KWD,KWD
1,NORVEÇ KRONU,NORWEGIAN KRONE,3.0717,3.0923,3.0695,3.0994,10.55,,NOK,NOK
1,SUUDİ ARABİSTAN RİYALİ,SAUDI RIYAL,8.6637,8.6793,8.5988,8.7444,3.7514,,SAR,SAR
100,JAPON YENİ,JAPENESE YEN,20.1131,20.2463,20.0387,20.3233,161.20,,JPY,JPY
1,BULGAR LEVASI,BULGARIAN LEV,17.8418,18.0753,0.0,0.0,1.8114,,BGN,BGN
1,RUMEN LEYİ,NEW LEU,7.0115,7.1032,0.0,0.0,4.6094,,RON,RON
1,RUS RUBLESİ,RUSSIAN ROUBLE,0.36799,0.3728,0.0,0.0,87.83,,RUB,RUB
100,İRAN RİYALİ,IRANIAN RIAL,0.00827,0.00838,0.0,0.0,390593,,IRR,IRR
1,ÇİN YUANI,CHINESE RENMINBI,4.4452,4.5034,0.0,0.0,7.2705,,CNY,CNY
1,PAKİSTAN RUPİSİ,PAKISTANI RUPEE,0.11605,0.11756,0.0,0.0,278.50,,PKR,PKR
1,KATAR RİYALİ,QATARI RIAL,8.863,8.979,0.0,0.0,3.6465,,QAR,QAR
1,GÜNEY KORE WONU,SOUTH KOREAN WON,0.02341,0.02372,0.0,0.0,1381,,KRW,KRW
1,AZERBAYCAN YENİ MANATI,AZERBAIJANI NEW MANAT,19.0111,19.2599,0.0,0.0,1.7000,,AZN,AZN
1,BİRLEŞİK ARAP EMİRLİKLERİ DİRHEMİ,UNITED ARAB EMIRATES DIRHAM,8.7991,8.9142,0.0,0.0,3.6730,,AED,AED
1,ÖZEL ÇEKME HAKKI (SDR)                            ,SPECIAL DRAWING RIGHT (SDR)                       ,42.9243,0.0,0.0,0.0,,1.31951,XDR,XDR
